iter	Passed	Remaining
407	22699	5118
408	22765	5065
409	22838	5013
410	22904	4959
411	22973	4906
412	23043	4854
413	23113	4801
414	23180	4747
415	23250	4694
416	23321	4641
417	23394	4589
418	23462	4535
419	23479	4472
420	23548	4418
421	23618	4365
422	23686	4311
423	23755	4258
424	23822	4203
425	23838	4140
426	23908	4087
427	23978	4033
428	24048	3979
429	24111	3925
430	24181	3871
431	24249	3817
432	24319	3763
433	24389	3709
434	24396	3645
435	24400	3581
436	24466	3527
437	24536	3473
438	24604	3418
439	24671	3364
440	24738	3309
441	24810	3255
442	24878	3201
443	24951	3146
444	25017	3092
445	25081	3036
446	25147	2981
447	25214	2926
448	25279	2871
449	25346	2816
450	25357	2755
451	25415	2698
452	25486	2644
453	25555	2589
454	25627	2534
455	25696	2479
456	25762	2424
457	25834	2369
458	25903	2313
459	25967	2258
460	26033	2202
461	26102	2146
462	26167	2091
463	26235	2035
464	26303	1979
465	26373	1924
466	26442	1868
467	26509	1812
468	26516	1752
469	26584	1696
470	26652	1641
471	26719	1585
472	26788	1529
473	26862	1473
474	26931	1417
475	27001	1361
476	27074	1305
477	27144	1249
478	27159	1190
479	27224	1134
480	27235	1075
481	27310	1019
482	27378	963
483	27448	907
484	27464	849
485	27535	793
486	27553	735
487	27618	679
488	27687	622
489	27758	566
490	27830	510
491	27901	453
492	27975	397
493	28043	340
494	28113	283
495	28186	227
496	28254	170
497	28321	113
498	28331	56
499	28399	0
